Movie_Name,rank,vizinho,sim
'Hellboy': The Seeds of Creation (2004),4,"Night Stalker, The (1972)",0.04956529289484024
'Hellboy': The Seeds of Creation (2004),5,Hellboy Animated: Blood and Iron (2007),0.04758266359567642
'Hellboy': The Seeds of Creation (2004),6,Run Ronnie Run (2002),0.04735526815056801
'Hellboy': The Seeds of Creation (2004),7,Patton Oswalt: Annihilation (2017),0.047348424792289734
'Hellboy': The Seeds of Creation (2004),8,(Untitled) (2009),0.04700702428817749
'Hellboy': The Seeds of Creation (2004),9,Igor (2008),0.04640062525868416
'Hellboy': The Seeds of Creation (2004),10,Happily N'Ever After (2007),0.04593394324183464
'Round Midnight (1986),1,Julia (1977),0.20178823173046112
'Round Midnight (1986),2,Julius Caesar (1953),0.1792393922805786
'Round Midnight (1986),3,Save the Tiger (1973),0.17908461391925812
'Round Midnight (1986),4,"Late Show, The (1977)",0.1668388545513153
'Round Midnight (1986),5,Humoresque (1946),0.16244195401668549
'Round Midnight (1986),6,Young Mr. Lincoln (1939),0.15828464925289154
'Round Midnight (1986),7,The Missouri Breaks (1976),0.1527068167924881
'Round Midnight (1986),8,My Little Chickadee (1940),0.15258072316646576
'Round Midnight (1986),9,Stay Hungry (1976),0.1524931788444519
'Round Midnight (1986),10,Georgy Girl (1966),0.15220597386360168
'Salem's Lot (2004),1,"Gravedancers, The (2006)",0.20621326565742493
'Salem's Lot (2004),2,The Town that Dreaded Sundown (2014),0.19558444619178772
'Salem's Lot (2004),3,Blood Creek (a.k.a. Town Creek) (2009),0.1925632357597351
'Salem's Lot (2004),4,"Gathering, The (2002)",0.187038391828537
'Salem's Lot (2004),5,Wicked Little Things (2006),0.176215261220932
'Salem's Lot (2004),6,Mother's Day (2010),0.1750708371400833
'Salem's Lot (2004),7,Penny Dreadful (2006),0.17497533559799194
'Salem's Lot (2004),8,"Thaw, The (2009)",0.17358022928237915
'Salem's Lot (2004),9,From Dusk Till Dawn 3: The Hangman's Daughter (1999),0.17334480583667755
'Salem's Lot (2004),10,Wind Chill (2007),0.17130163311958313
'Til There Was You (1997),1,Addicted to Love (1997),0.2231639176607132
'Til There Was You (1997),2,Picture Perfect (1997),0.20279258489608765
'Til There Was You (1997),3,Mrs. Winterbourne (1996),0.18583425879478455
'Til There Was You (1997),4,One Fine Day (1996),0.18205620348453522
'Til There Was You (1997),5,To Gillian on Her 37th Birthday (1996),0.17723913490772247
'Til There Was You (1997),6,"Object of My Affection, The (1998)",0.17508676648139954
'Til There Was You (1997),7,"Mirror Has Two Faces, The (1996)",0.1727570742368698
'Til There Was You (1997),8,"MatchMaker, The (1997)",0.1706836074590683
'Til There Was You (1997),9,Hope Floats (1998),0.166749507188797
'Til There Was You (1997),10,Inventing the Abbotts (1997),0.16021785140037537
"'burbs, The (1989)",1,"Money Pit, The (1986)",0.3177315890789032
"'burbs, The (1989)",2,Scrooged (1988),0.29870545864105225
"'burbs, The (1989)",3,Adventures in Babysitting (1987),0.2945341467857361
"'burbs, The (1989)",4,Weird Science (1985),0.288906455039978
"'burbs, The (1989)",5,European Vacation (aka National Lampoon's European Vacation) (1985),0.2844025194644928
"'burbs, The (1989)",6,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),0.28435632586479187
"'burbs, The (1989)",7,Funny Farm (1988),0.27744823694229126
"'burbs, The (1989)",8,¡Three Amigos! (1986),0.2766841948032379
"'burbs, The (1989)",9,Harry and the Hendersons (1987),0.26870882511138916
"'burbs, The (1989)",10,Ghostbusters II (1989),0.2682170867919922
'night Mother (1986),1,Agnes of God (1985),0.21610048413276672
'night Mother (1986),2,Places in the Heart (1984),0.185316264629364
'night Mother (1986),3,Crimes of the Heart (1986),0.17929239571094513
'night Mother (1986),4,Extremities (1986),0.16745731234550476
'night Mother (1986),5,"Trip to Bountiful, The (1985)",0.15796075761318207
'night Mother (1986),6,"Good Mother, The (1988)",0.156184583902359
'night Mother (1986),7,"Cry in the Dark, A (1988)",0.15521514415740967
'night Mother (1986),8,Men Don't Leave (1990),0.15149998664855957
'night Mother (1986),9,Brighton Beach Memoirs (1986),0.14992468059062958
'night Mother (1986),10,Mommie Dearest (1981),0.14818866550922394
(500) Days of Summer (2009),1,Juno (2007),0.43584832549095154
(500) Days of Summer (2009),2,"Social Network, The (2010)",0.4040786325931549
(500) Days of Summer (2009),3,50/50 (2011),0.39865973591804504
(500) Days of Summer (2009),4,Black Swan (2010),0.39547044038772583
(500) Days of Summer (2009),5,Up in the Air (2009),0.39459899067878723
(500) Days of Summer (2009),6,"Perks of Being a Wallflower, The (2012)",0.39165371656417847
(500) Days of Summer (2009),7,Silver Linings Playbook (2012),0.3910118043422699
(500) Days of Summer (2009),8,Slumdog Millionaire (2008),0.3903566002845764
(500) Days of Summer (2009),9,"Hangover, The (2009)",0.3808871805667877
(500) Days of Summer (2009),10,Inception (2010),0.3801758587360382
(Untitled) (2009),1,$5 a Day (2008),0.12661242485046387
(Untitled) (2009),2,Short Time (1990),0.12551110982894897
(Untitled) (2009),3,Fear and Trembling (Stupeur et tremblements) (2003),0.1064792349934578
(Untitled) (2009),4,"4th Man, The (Fourth Man, The) (Vierde man, De) (1983)",0.10318545997142792
(Untitled) (2009),5,Management (2008),0.10243882238864899
(Untitled) (2009),6,Private Resort (1985),0.1001170352101326
(Untitled) (2009),7,Ira and Abby (2006),0.0994294136762619
(Untitled) (2009),8,Please Give (2010),0.09887545555830002
(Untitled) (2009),9,Populaire (2012),0.09778592735528946
(Untitled) (2009),10,Coco Chanel & Igor Stravinsky (2009),0.09669940173625946
*batteries not included (1987),1,"Last Starfighter, The (1984)",0.24670012295246124
*batteries not included (1987),2,Short Circuit (1986),0.23478297889232635
*batteries not included (1987),3,"'burbs, The (1989)",0.2313835769891739
*batteries not included (1987),4,Enemy Mine (1985),0.21201138198375702
*batteries not included (1987),5,Explorers (1985),0.2025000900030136
*batteries not included (1987),6,Short Circuit 2 (1988),0.20022915303707123
*batteries not included (1987),7,Innerspace (1987),0.19972427189350128
*batteries not included (1987),8,Darkman (1990),0.1989511251449585
*batteries not included (1987),9,Tremors (1990),0.19791172444820404
*batteries not included (1987),10,Teen Wolf (1985),0.18901734054088593
+1 (2013),1,About Cherry (2012),0.21781601011753082
+1 (2013),2,Dark Was the Night (2014),0.173068106174469
+1 (2013),3,Radius (2017),0.16500939428806305
+1 (2013),4,Repeaters (2010) ,0.16334168612957
+1 (2013),5,Enter Nowhere (2011),0.1622328907251358
+1 (2013),6,Parallels (2015),0.15777148306369781
+1 (2013),7,In Fear (2013),0.15593726933002472
+1 (2013),8,Vanishing on 7th Street (2010),0.15490370988845825
+1 (2013),9,Extinction (2015),0.1533215492963791
+1 (2013),10,Mother's Day (2010),0.15173324942588806
...All the Marbles (1981),1,10 to Midnight (1983),0.21692214906215668
...All the Marbles (1981),2,Some Kind of Hero (1982),0.18327617645263672
...All the Marbles (1981),3,Breezy (1973),0.18206699192523956
...All the Marbles (1981),4,Serial (1980),0.18152928352355957
...All the Marbles (1981),5,First Monday in October (1981),0.17672283947467804
...All the Marbles (1981),6,Lord Love a Duck (1966),0.17619994282722473
...All the Marbles (1981),7,S.O.B. (1981),0.1572531908750534
...All the Marbles (1981),8,Foxes (1980),0.15591299533843994
...All the Marbles (1981),9,They All Laughed (1981),0.1534520834684372
...All the Marbles (1981),10,Light Sleeper (1992),0.15139831602573395
...And God Spoke (1993),1,...All the Marbles (1981),0.12505947053432465
...And God Spoke (1993),2,Sleep with Me (1994),0.12093941122293472
...And God Spoke (1993),3,Guilty by Suspicion (1991),0.1144593134522438
...And God Spoke (1993),4,Brain Donors (1992),0.11045237630605698
...And God Spoke (1993),5,Sunset (1988),0.10797467827796936
...And God Spoke (1993),6,10 to Midnight (1983),0.10585631430149078
...And God Spoke (1993),7,"Independent, The (2000)",0.10522864013910294
...And God Spoke (1993),8,Student Bodies (1981),0.10485678166151047
...And God Spoke (1993),9,Blame It on the Bellboy (1992),0.10347986966371536
...And God Spoke (1993),10,Buster (1988),0.10223473608493805
...And Justice for All (1979),1,Serpico (1973),0.2378157079219818
...And Justice for All (1979),2,"Verdict, The (1982)",0.2332623451948166
...And Justice for All (1979),3,Dog Day Afternoon (1975),0.21710185706615448
...And Justice for All (1979),4,Sea of Love (1989),0.2093604952096939
...And Justice for All (1979),5,"Boys from Brazil, The (1978)",0.20492592453956604
...And Justice for All (1979),6,North Dallas Forty (1979),0.20151500403881073
...And Justice for All (1979),7,Coming Home (1978),0.1990625262260437
...And Justice for All (1979),8,Death Wish (1974),0.19838933646678925
...And Justice for All (1979),9,Marathon Man (1976),0.19797587394714355
...And Justice for All (1979),10,Coma (1978),0.1977769285440445
1-900 (06) (1994),1,Lotto Land (1995),0.4473838210105896
1-900 (06) (1994),2,Stefano Quantestorie (1993),0.41331228613853455
1-900 (06) (1994),3,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",0.4082123637199402
1-900 (06) (1994),4,Two Deaths (1995),0.4019301235675812
1-900 (06) (1994),5,Low Life (1994),0.38285619020462036
1-900 (06) (1994),6,Talking About Sex (1994),0.375985324382782
1-900 (06) (1994),7,Mille bolle blu (1993),0.36849653720855713
1-900 (06) (1994),8,"Unforgettable Summer, An (Un été inoubliable) (1994)",0.3655867278575897
1-900 (06) (1994),9,Crows and Sparrows (Wuya yu maque) (1949),0.34897172451019287
1-900 (06) (1994),10,Midnight Dancers (Sibak) (1994),0.34819433093070984
10 (1979),1,Bugsy (1991),0.24995559453964233
10 (1979),2,1941 (1979),0.24932706356048584
10 (1979),3,Legal Eagles (1986),0.24065306782722473
10 (1979),4,"Oh, God! (1977)",0.23673637211322784
10 (1979),5,Gorky Park (1983),0.23547202348709106
10 (1979),6,"Same Time, Next Year (1978)",0.23426209390163422
10 (1979),7,Absence of Malice (1981),0.23290522396564484
10 (1979),8,Down and Out in Beverly Hills (1986),0.23234593868255615
10 (1979),9,"Rose, The (1979)",0.23198466002941132
10 (1979),10,Looking for Mr. Goodbar (1977),0.23042361438274384
10 Cloverfield Lane (2016),1,Get Out (2017),0.43193337321281433
10 Cloverfield Lane (2016),2,Arrival (2016),0.42051011323928833
10 Cloverfield Lane (2016),3,It Follows (2014),0.4138966500759125
10 Cloverfield Lane (2016),4,Split (2017),0.3951629400253296
10 Cloverfield Lane (2016),5,"Cabin in the Woods, The (2012)",0.3879716098308563
10 Cloverfield Lane (2016),6,Don't Breathe (2016),0.38750189542770386
10 Cloverfield Lane (2016),7,The Witch (2015),0.3846805989742279
10 Cloverfield Lane (2016),8,The Nice Guys (2016),0.3833051919937134
10 Cloverfield Lane (2016),9,Nightcrawler (2014),0.3822265565395355
10 Cloverfield Lane (2016),10,Sicario (2015),0.38156068325042725
10 Items or Less (2006),1,Venus (2006),0.17289294302463531
10 Items or Less (2006),2,King of California (2007),0.16374370455741882
10 Items or Less (2006),3,"Answer Man, The (a.k.a. Arlen Faber) (2009)",0.16139434278011322
10 Items or Less (2006),4,"Lookout, The (2007)",0.15701152384281158
10 Items or Less (2006),5,Rocket Science (2007),0.1554355025291443
10 Items or Less (2006),6,"Savages, The (2007)",0.15365396440029144
10 Items or Less (2006),7,You Kill Me (2007),0.1525755375623703
10 Items or Less (2006),8,Levity (2003),0.1524152159690857
10 Items or Less (2006),9,Henry Poole is Here (2008),0.1501634567975998
10 Items or Less (2006),10,Reign Over Me (2007),0.1481751948595047
10 Rillington Place (1971),1,Victim (1961),0.2331780344247818
10 Rillington Place (1971),2,"Fallen Idol, The (1948)",0.22379371523857117
10 Rillington Place (1971),3,Brute Force (1947),0.22033680975437164
10 Rillington Place (1971),4,Pretty Poison (1968),0.2177649736404419
10 Rillington Place (1971),5,On Dangerous Ground (1952),0.21646739542484283
10 Rillington Place (1971),6,Save the Tiger (1973),0.21464121341705322
10 Rillington Place (1971),7,5 Fingers (1952),0.21307793259620667
10 Rillington Place (1971),8,"Honeymoon Killers, The (1970)",0.21276593208312988
10 Rillington Place (1971),9,"Butcher, The (Boucher, Le) (1970)",0.2094406634569168
10 Rillington Place (1971),10,"Naked Spur, The (1953)",0.20810392498970032
10 Things I Hate About You (1999),1,Never Been Kissed (1999),0.38673892617225647
10 Things I Hate About You (1999),2,She's All That (1999),0.38373252749443054
10 Things I Hate About You (1999),3,American Pie (1999),0.36190539598464966
10 Things I Hate About You (1999),4,Legally Blonde (2001),0.3578178584575653
10 Things I Hate About You (1999),5,Cruel Intentions (1999),0.3484821915626526
10 Things I Hate About You (1999),6,"Wedding Singer, The (1998)",0.341151624917984
10 Things I Hate About You (1999),7,Big Daddy (1999),0.3376510739326477
10 Things I Hate About You (1999),8,Miss Congeniality (2000),0.3374480903148651
10 Things I Hate About You (1999),9,13 Going on 30 (2004),0.33430731296539307
10 Things I Hate About You (1999),10,Notting Hill (1999),0.33104583621025085
10 Years (2011),1,About Alex (2014),0.21002385020256042
10 Years (2011),2,Happythankyoumoreplease (2010),0.19163428246974945
10 Years (2011),3,"Lifeguard, The (2013)",0.17091037333011627
10 Years (2011),4,Celeste and Jesse Forever (Celeste & Jesse Forever) (2012),0.16315865516662598
10 Years (2011),5,New Year's Eve (2011),0.16055026650428772
10 Years (2011),6,Bachelorette (2012),0.15934205055236816
10 Years (2011),7,How Do You Know (2010),0.1577240377664566
10 Years (2011),8,Going the Distance (2010),0.15573804080486298
10 Years (2011),9,Friends with Kids (2011),0.15548193454742432
10 Years (2011),10,"Dead, The (2010)",0.15506687760353088
10 to Midnight (1983),1,"Evil That Men Do, The (1984)",0.2741626501083374
10 to Midnight (1983),2,Mr. Majestyk (1974),0.27145642042160034
10 to Midnight (1983),3,Murphy's Law (1986),0.26583772897720337
10 to Midnight (1983),4,Death Hunt (1981),0.24322561919689178
10 to Midnight (1983),5,The Shooting (1966),0.2286352813243866
10 to Midnight (1983),6,"Killer Elite, The (1975)",0.2214123010635376
10 to Midnight (1983),7,8 Million Ways to Die (1986),0.2184915542602539
10 to Midnight (1983),8,...All the Marbles (1981),0.21692214906215668
10 to Midnight (1983),9,Kinjite: Forbidden Subjects (1989),0.20744635164737701
10 to Midnight (1983),10,"Mechanic, The (1972)",0.20741330087184906
"10,000 BC (2008)",1,Jumper (2008),0.28310707211494446
"10,000 BC (2008)",2,Beowulf (2007),0.2656315267086029
"10,000 BC (2008)",3,Clash of the Titans (2010),0.2591782808303833
"10,000 BC (2008)",4,Fantastic Four: Rise of the Silver Surfer (2007),0.2573710083961487
"10,000 BC (2008)",5,Ghost Rider (2007),0.2506408095359802
"10,000 BC (2008)",6,2012 (2009),0.24962371587753296
"10,000 BC (2008)",7,Transformers: Revenge of the Fallen (2009),0.24454250931739807
"10,000 BC (2008)",8,Hancock (2008),0.24444124102592468
"10,000 BC (2008)",9,300 (2007),0.24027268588542938
"10,000 BC (2008)",10,"Incredible Hulk, The (2008)",0.2399541437625885
100 Feet (2008),1,"Haunting of Molly Hartley, The (2008)",0.21212434768676758
100 Feet (2008),2,Blood Creek (a.k.a. Town Creek) (2009),0.20791755616664886
100 Feet (2008),3,Reeker (2005),0.20110031962394714
100 Feet (2008),4,Wind Chill (2007),0.18294920027256012
100 Feet (2008),5,"Gravedancers, The (2006)",0.1784234642982483
100 Feet (2008),6,"Possession, The (2012)",0.17466187477111816
100 Feet (2008),7,"Final, The (2010)",0.17009590566158295
100 Feet (2008),8,Sorority Row (2009),0.168329656124115
100 Feet (2008),9,My Soul to Take (2010),0.16822375357151031
100 Feet (2008),10,"Haunting in Connecticut, The (2009)",0.16736620664596558
100 Girls (2000),1,40 Days and 40 Nights (2002),0.161319300532341
100 Girls (2000),2,"I Love You, Beth Cooper (2009)",0.15166927874088287
100 Girls (2000),3,Sex Drive (2008),0.15150126814842224
100 Girls (2000),4,My Best Friend's Girl (2008),0.1495644450187683
100 Girls (2000),5,Buying the Cow (2002),0.14718669652938843
100 Girls (2000),6,"Girl Next Door, The (2004)",0.13742971420288086
100 Girls (2000),7,"Answer Man, The (a.k.a. Arlen Faber) (2009)",0.13313303887844086
100 Girls (2000),8,"Heartbreak Kid, The (2007)",0.13228338956832886
100 Girls (2000),9,Accepted (2006),0.130789652466774
100 Girls (2000),10,Man About Town (2006),0.12898775935173035
100 Rifles (1969),1,"Bridges at Toko-Ri, The (1954)",0.21113047003746033
100 Rifles (1969),2,They Call Me Mister Tibbs! (1970),0.20840780436992645
100 Rifles (1969),3,8 Million Ways to Die (1986),0.19612985849380493
100 Rifles (1969),4,Duel at Diablo (1966),0.18118569254875183
100 Rifles (1969),5,55 Days at Peking (1963),0.1785629242658615
100 Rifles (1969),6,They Died with Their Boots On (1941),0.17275381088256836
100 Rifles (1969),7,10 to Midnight (1983),0.17005369067192078
100 Rifles (1969),8,"Valachi Papers,The (1972)",0.16541840136051178
100 Rifles (1969),9,"5th Musketeer, The (a.k.a. Fifth Musketeer, The) (1979)",0.15677697956562042
100 Rifles (1969),10,Last of the Dogmen (1995),0.15588364005088806
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",1,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",0.21158206462860107
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",2,While the City Sleeps (1956),0.1983432173728943
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",3,"Blue Gardenia, The (1953)",0.18201863765716553
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",4,"Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler) (1922)",0.17956000566482544
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",5,Pursued (1947),0.17282068729400635
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",6,7 Men from Now (Seven Men from Now) (1956),0.1626172959804535
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",7,Hangmen Also Die! (1943),0.1612255871295929
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",8,I Walked with a Zombie (1943),0.1511254906654358
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",9,"Golem, The (Golem, wie er in die Welt kam, Der) (1920)",0.14933007955551147
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",10,You Only Live Once (1937),0.14623098075389862
101 Dalmatians (1996),1,101 Dalmatians (One Hundred and One Dalmatians) (1961),0.33834171295166016
101 Dalmatians (1996),2,"Hunchback of Notre Dame, The (1996)",0.3282008171081543
101 Dalmatians (1996),3,Space Jam (1996),0.319722056388855
101 Dalmatians (1996),4,Matilda (1996),0.3004787266254425
101 Dalmatians (1996),5,Cinderella (1950),0.2853352427482605
101 Dalmatians (1996),6,Toy Story (1995),0.2789817154407501
101 Dalmatians (1996),7,"Nutty Professor, The (1996)",0.2771381735801697
101 Dalmatians (1996),8,Willy Wonka & the Chocolate Factory (1971),0.2753905653953552
101 Dalmatians (1996),9,Dumbo (1941),0.2733471989631653
101 Dalmatians (1996),10,102 Dalmatians (2000),0.27173346281051636
101 Dalmatians (One Hundred and One Dalmatians) (1961),1,Bambi (1942),0.525101363658905
101 Dalmatians (One Hundred and One Dalmatians) (1961),2,Peter Pan (1953),0.5049535036087036
101 Dalmatians (One Hundred and One Dalmatians) (1961),3,Lady and the Tramp (1955),0.5013161301612854
101 Dalmatians (One Hundred and One Dalmatians) (1961),4,Sleeping Beauty (1959),0.49408507347106934
101 Dalmatians (One Hundred and One Dalmatians) (1961),5,"Jungle Book, The (1967)",0.48641687631607056
101 Dalmatians (One Hundred and One Dalmatians) (1961),6,Cinderella (1950),0.4662645161151886
101 Dalmatians (One Hundred and One Dalmatians) (1961),7,Dumbo (1941),0.456487238407135
101 Dalmatians (One Hundred and One Dalmatians) (1961),8,"Little Mermaid, The (1989)",0.44480448961257935
101 Dalmatians (One Hundred and One Dalmatians) (1961),9,Alice in Wonderland (1951),0.4404362142086029
101 Dalmatians (One Hundred and One Dalmatians) (1961),10,"Rescuers, The (1977)",0.42453137040138245
101 Dalmatians II: Patch's London Adventure (2003),1,The Fox and the Hound 2 (2006),0.33181706070899963
101 Dalmatians II: Patch's London Adventure (2003),2,Tarzan II (2005),0.32217299938201904
101 Dalmatians II: Patch's London Adventure (2003),3,Aloha Scooby-Doo! (2005),0.30645039677619934
101 Dalmatians II: Patch's London Adventure (2003),4,Brother Bear 2 (2006),0.2888701558113098
101 Dalmatians II: Patch's London Adventure (2003),5,Bambi 2 (2006),0.2780342102050781
101 Dalmatians II: Patch's London Adventure (2003),6,Scooby-Doo! And the Legend of the Vampire (2003),0.2634897232055664
101 Dalmatians II: Patch's London Adventure (2003),7,Cinderella III: A Twist in Time (2007),0.2452203333377838
101 Dalmatians II: Patch's London Adventure (2003),8,Scooby-Doo and the Alien Invaders (2000),0.23608648777008057
101 Dalmatians II: Patch's London Adventure (2003),9,Tarzan (2013),0.2326919287443161
101 Dalmatians II: Patch's London Adventure (2003),10,Scooby-Doo! and the Witch's Ghost (1999),0.2299582064151764
101 Reykjavik (101 Reykjavík) (2000),1,Noi the Albino (Nói albinói) (2003),0.1760345697402954
101 Reykjavik (101 Reykjavík) (2000),2,"Man Without a Past, The (Mies vailla menneisyyttä) (2002)",0.16811858117580414
101 Reykjavik (101 Reykjavík) (2000),3,Lilya 4-Ever (Lilja 4-ever) (2002),0.1612306386232376
101 Reykjavik (101 Reykjavík) (2000),4,Show Me Love (Fucking Åmål) (1998),0.15761971473693848
101 Reykjavik (101 Reykjavík) (2000),5,2046 (2004),0.14959463477134705
101 Reykjavik (101 Reykjavík) (2000),6,Together (Tillsammans) (2000),0.14869539439678192
101 Reykjavik (101 Reykjavík) (2000),7,Kitchen Stories (Salmer fra kjøkkenet) (2003),0.14008504152297974
101 Reykjavik (101 Reykjavík) (2000),8,Wilbur Wants to Kill Himself (2002),0.1364375501871109
101 Reykjavik (101 Reykjavík) (2000),9,Elling (2001),0.13532328605651855
101 Reykjavik (101 Reykjavík) (2000),10,Broken Flowers (2005),0.133352130651474
102 Dalmatians (2000),1,101 Dalmatians (1996),0.27173346281051636
102 Dalmatians (2000),2,Stuart Little 2 (2002),0.21483510732650757
102 Dalmatians (2000),3,Cats & Dogs (2001),0.21010155975818634
102 Dalmatians (2000),4,"Flintstones in Viva Rock Vegas, The (2000)",0.21002426743507385
102 Dalmatians (2000),5,101 Dalmatians (One Hundred and One Dalmatians) (1961),0.20100677013397217
102 Dalmatians (2000),6,Scooby-Doo (2002),0.19774596393108368
102 Dalmatians (2000),7,Dr. Dolittle 2 (2001),0.19678375124931335
102 Dalmatians (2000),8,Stuart Little (1999),0.195299431681633
102 Dalmatians (2000),9,Agent Cody Banks (2003),0.18908846378326416
102 Dalmatians (2000),10,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),0.1869175285100937
10th & Wolf (2006),1,12 Rounds (2009),0.19741685688495636
10th & Wolf (2006),2,Anamorph (2007),0.1832890510559082
10th & Wolf (2006),3,9/11 (2002),0.15189522504806519
10th & Wolf (2006),4,Abandon (2002),0.1349049210548401
10th & Wolf (2006),5,88 Minutes (2008),0.13333697617053986
10th & Wolf (2006),6,Blind Dating (2006),0.13107454776763916
10th & Wolf (2006),7,187 (One Eight Seven) (1997),0.127276211977005
10th & Wolf (2006),8,"Guide to Recognizing Your Saints, A (2006)",0.1257154792547226
10th & Wolf (2006),9,"Drowning Pool, The (1975)",0.12171235680580139
10th & Wolf (2006),10,Alpha Dog (2007),0.12112938612699509
"10th Victim, The (La decima vittima) (1965)",1,Don't Torture a Duckling (Non si sevizia un paperino) (1972),0.17987248301506042
"10th Victim, The (La decima vittima) (1965)",2,Donovan's Brain (1953),0.16976988315582275
"10th Victim, The (La decima vittima) (1965)",3,"Cat o' Nine Tails, The (Gatto a nove code, Il) (1971)",0.16616888344287872
"10th Victim, The (La decima vittima) (1965)",4,Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto) (1970),0.16110873222351074
"10th Victim, The (La decima vittima) (1965)",5,X: The Man with the X-Ray Eyes (1963),0.15242144465446472
"10th Victim, The (La decima vittima) (1965)",6,Big Deal on Madonna Street (I Soliti Ignoti) (1958),0.15235759317874908
"10th Victim, The (La decima vittima) (1965)",7,"Day the Earth Caught Fire, The (1961)",0.14731943607330322
"10th Victim, The (La decima vittima) (1965)",8,Things to Come (1936),0.14596275985240936
"10th Victim, The (La decima vittima) (1965)",9,20 Million Miles to Earth (1957),0.14341799914836884
"10th Victim, The (La decima vittima) (1965)",10,Homicidal (1961),0.14299824833869934
10x10 (2018),1,"Single Shot, A (2013)",0.22068092226982117
